user_id,lifestyle_archetype,preferred_location_district_id,max_distance_to_work_km,budget_min_vnd,budget_max_vnd,preferred_room_type,preferred_gender,accept_smoking_roommates,accept_pets,need_private_bathroom,need_air_conditioner,need_parking,need_balcony,need_kitchen,internet_requirement,furniture_requirement,max_roommates,preferred_contract_months,priority_cleanliness,priority_location,priority_budget,priority_privacy,priority_social_environment
U00090,Young Professional,PN,11.8,5397634,9604453,apartment,male,1,0,0,1,1,0,1,medium,standard,4,12,3,4,4,3,2
U00091,Privacy Seeker,CG,13.1,3827515,8506286,apartment,female,0,0,1,1,0,0,1,high,fully_furnished,1,24,3,2,3,4,1
U00092,Privacy Seeker,CG,8.2,2862491,6531116,studio,any,1,0,1,0,0,0,0,medium,minimal,2,3,3,4,3,5,1
U00093,Remote Worker,D2,13.1,9361286,11828094,apartment,female,1,1,1,0,1,1,1,high,standard,1,6,4,2,5,5,2
U00094,Remote Worker,D7,3.2,10653811,13887895,apartment,female,1,0,1,0,0,0,1,high,standard,2,6,3,3,4,4,2
U00095,Young Professional,D3,13.8,3413683,8119750,studio,female,1,0,0,1,1,1,1,high,standard,6,12,3,4,4,2,4
U00096,Young Professional,D3,15.3,6842460,10507812,studio,female,1,1,0,1,1,0,1,high,standard,6,6,4,3,4,3,2
U00097,Student,GV,10.2,1317434,5742679,studio,any,0,0,1,0,1,0,0,high,standard,4,3,2,2,3,1,4
U00098,Student,TB,10.3,3647952,5887312,shared_room,male,0,1,0,0,1,0,0,basic,standard,5,3,2,2,3,1,4
U00099,Social Butterfly,HK,18.9,3482647,4669010,studio,female,0,1,0,0,1,0,0,basic,standard,4,3,3,4,4,2,5
U00100,Social Butterfly,HK,9.4,5895990,9552402,studio,any,1,1,0,1,1,0,1,high,minimal,3,6,2,3,4,1,4
U00101,Student,TD,15.9,3131544,6224668,shared_room,any,1,0,0,0,0,0,1,medium,standard,4,3,1,1,3,1,4
U00102,Student,TB,4.2,1100249,2555256,shared_room,any,1,1,0,0,1,0,0,medium,minimal,5,12,2,3,5,1,5
U00103,Student,GV,17.4,2674886,7256365,studio,female,1,1,1,0,0,0,0,high,standard,4,3,2,1,5,1,4
U00104,Student,GV,14.1,3256991,7625829,apartment,any,1,0,1,0,1,0,0,high,minimal,4,12,1,1,1,2,4
U00105,Young Professional,D1,8.2,6012868,7666167,apartment,male,0,0,1,0,1,0,0,high,minimal,2,6,3,5,1,4,2
U00106,Social Butterfly,D1,8.0,3383587,5051234,studio,female,0,1,0,0,1,0,0,medium,standard,5,6,3,3,2,1,4
U00107,Young Professional,PN,5.5,7267025,8845539,studio,female,0,1,0,1,1,1,1,medium,fully_furnished,5,3,2,2,2,3,2
U00108,Young Professional,D1,5.9,3430265,5009169,shared_room,female,0,1,0,0,0,0,1,high,standard,6,12,3,5,1,2,3
U00109,Privacy Seeker,TD,9.2,2805789,4293859,shared_room,female,1,0,1,0,0,0,0,medium,minimal,2,12,3,1,1,5,1
U00110,Student,TB,4.7,1441575,5945400,studio,male,0,1,1,0,1,0,0,high,minimal,4,6,3,1,3,2,4
U00111,Young Professional,D1,13.2,7350114,11393504,studio,female,0,1,0,1,0,1,1,high,standard,6,3,3,1,3,3,3
U00112,Remote Worker,D7,12.2,9299905,13930430,studio,male,0,1,1,1,0,1,0,high,minimal,2,12,3,3,4,4,1
U00113,Student,TD,17.5,1357346,4208962,shared_room,female,0,1,0,0,1,0,0,high,minimal,4,6,3,3,3,1,5
U00114,Student,TD,10.3,2621787,4649991,shared_room,male,1,0,0,0,1,0,0,medium,minimal,6,12,2,2,1,2,4
U00115,Social Butterfly,D3,13.3,5802147,7392547,apartment,male,1,1,1,0,0,0,0,high,fully_furnished,3,6,2,2,5,1,5
U00116,Privacy Seeker,TX,9.6,3967573,7435350,apartment,any,0,1,0,0,0,0,0,medium,standard,1,6,5,5,1,5,1
U00117,Privacy Seeker,TX,3.8,3075113,4541364,studio,male,1,0,0,0,1,0,0,high,minimal,2,3,3,3,1,5,1
U00118,Student,GV,10.8,1038390,5536943,studio,female,1,1,0,0,0,0,0,high,minimal,4,6,3,3,2,2,4
U00119,Privacy Seeker,CG,19.1,3751006,8452969,studio,any,0,1,1,0,1,0,1,high,fully_furnished,1,6,4,2,3,4,1
U00120,Student,TB,10.0,2534144,3584829,shared_room,any,0,1,0,0,0,0,0,basic,minimal,4,12,2,1,3,2,4
U00121,Remote Worker,D7,1.4,6876567,9943146,apartment,male,1,0,1,1,1,1,1,high,standard,1,12,3,5,2,4,2
U00122,Privacy Seeker,TB,12.0,2104528,5614284,shared_room,any,0,0,1,1,1,0,0,medium,standard,1,12,5,4,1,4,1
U00123,Social Butterfly,D1,9.1,7167234,9507147,studio,any,0,1,0,0,0,1,1,high,standard,4,12,2,3,2,1,4
U00124,Remote Worker,BT,9.2,10717702,11939432,studio,female,0,1,1,1,1,1,1,high,standard,2,12,3,1,2,4,3
U00125,Remote Worker,BT,2.3,9440053,13017858,apartment,female,0,0,1,1,0,1,1,high,fully_furnished,2,12,4,5,5,4,2
U00126,Young Professional,D1,15.3,6293545,10347875,apartment,any,1,0,0,0,0,1,1,high,fully_furnished,6,12,3,2,3,3,2
U00127,Social Butterfly,D3,19.8,5356043,9654736,studio,female,0,1,0,1,1,0,0,medium,fully_furnished,6,6,3,4,5,1,5
U00128,Social Butterfly,D3,1.8,3965341,6343334,studio,any,0,1,1,0,0,0,0,medium,minimal,6,3,3,2,3,1,4
U00129,Young Professional,PN,3.2,5032785,7996944,studio,any,1,1,1,0,0,0,0,medium,minimal,3,12,3,1,2,3,2
U00130,Young Professional,D1,5.5,7917351,9020026,apartment,female,1,0,0,1,0,0,1,high,standard,4,24,3,2,2,2,4
U00131,Student,TD,19.9,2633094,5770157,shared_room,any,0,0,1,0,1,0,1,medium,standard,6,6,1,3,4,1,5
U00132,Student,GV,7.2,2313651,4950194,shared_room,any,1,1,0,0,0,0,0,high,minimal,3,3,2,5,3,1,4
U00133,Young Professional,D1,5.8,6825437,8504108,studio,any,0,0,0,1,0,1,1,medium,minimal,5,12,3,1,4,3,2
U00134,Remote Worker,BT,9.7,9221099,11059727,studio,male,1,0,0,0,0,1,0,high,fully_furnished,1,6,4,2,3,4,1
U00135,Remote Worker,D2,14.6,11987367,16708550,apartment,female,1,0,1,0,1,0,1,high,minimal,2,6,4,4,2,4,2
U00136,Privacy Seeker,TB,9.6,2012712,6773850,shared_room,male,0,0,0,0,1,0,0,medium,standard,2,3,4,5,1,4,1
U00137,Young Professional,PN,5.3,4983215,7610916,apartment,female,1,0,1,0,0,0,0,medium,minimal,5,12,3,4,2,2,3
U00138,Social Butterfly,D3,12.6,5602821,9092830,apartment,female,0,0,1,1,1,1,1,basic,standard,6,6,2,2,2,1,4
U00139,Privacy Seeker,TB,17.5,3652433,7231029,studio,male,0,0,1,0,0,0,0,high,standard,2,3,4,5,4,5,1
U00140,Student,TD,18.8,3016246,6029953,shared_room,male,0,0,0,0,1,0,1,medium,standard,3,12,2,5,1,2,5
U00141,Privacy Seeker,TX,9.5,3364918,5862414,studio,any,1,1,1,0,1,0,0,high,minimal,1,6,3,4,2,5,1
U00142,Young Professional,D3,9.8,7140392,11783160,apartment,female,1,0,1,1,0,1,1,high,fully_furnished,2,12,3,2,1,4,2
U00143,Student,TB,11.2,1740798,4667759,studio,male,0,1,0,0,0,0,0,high,minimal,4,3,2,2,5,1,4
U00144,Young Professional,D1,11.8,3797235,5641974,studio,any,1,1,0,0,0,0,0,basic,minimal,3,12,2,3,4,3,3
U00145,Privacy Seeker,TB,17.3,3996627,6307304,studio,any,1,1,1,0,0,0,0,basic,minimal,1,6,4,1,3,4,1
U00146,Young Professional,PN,1.6,7695081,10927278,studio,male,1,1,0,0,1,0,1,high,standard,5,3,2,5,1,3,3
U00147,Young Professional,D1,18.4,3683594,6246477,shared_room,male,1,1,0,1,0,0,0,high,minimal,6,12,4,1,2,3,2
U00148,Privacy Seeker,TX,4.1,2448867,3791112,shared_room,any,1,1,0,0,0,0,0,basic,minimal,2,12,3,1,3,5,1
U00149,Young Professional,PN,14.6,6504043,9566776,studio,any,1,0,0,1,0,0,1,medium,standard,3,12,3,3,5,3,3
U00150,Young Professional,D1,5.5,5539257,9948154,studio,any,1,0,1,1,0,1,1,basic,fully_furnished,2,3,3,2,3,4,3
U00151,Student,TB,6.4,2413911,4184669,studio,any,0,0,1,0,0,0,0,high,fully_furnished,6,12,2,4,1,2,4
U00152,Young Professional,D3,14.7,6686020,7768472,studio,female,0,1,0,0,1,0,0,medium,standard,5,6,3,1,4,3,2
U00153,Privacy Seeker,TB,15.8,1995644,3534363,studio,male,1,1,1,0,1,0,0,high,minimal,2,6,3,2,2,5,1
U00154,Young Professional,PN,15.3,6546101,8601228,studio,male,1,0,0,1,1,1,1,medium,fully_furnished,5,3,3,5,1,3,3
U00155,Student,TD,9.4,2161798,6107742,shared_room,female,0,1,0,0,1,0,0,high,standard,5,12,1,3,5,1,4
U00156,Student,GV,8.9,1370984,3080422,shared_room,male,0,1,0,0,1,0,0,medium,minimal,5,12,2,5,2,1,4
U00157,Young Professional,D1,14.0,4202452,6976372,studio,any,0,0,0,0,0,0,0,high,minimal,5,3,3,2,2,2,3
U00158,Social Butterfly,D1,3.3,3166344,4683111,shared_room,male,1,1,0,0,1,0,0,basic,fully_furnished,6,12,2,4,2,2,4
U00159,Student,TD,3.8,2168849,5079817,studio,any,0,0,0,0,0,0,0,high,minimal,5,12,2,5,4,1,4
U00160,Young Professional,D3,2.6,5161308,9935528,apartment,any,1,0,0,0,1,0,1,medium,standard,5,6,4,1,3,3,2
U00161,Social Butterfly,D3,3.0,6656773,9209177,studio,female,1,0,0,1,0,1,1,high,fully_furnished,4,6,3,1,2,1,4
U00162,Social Butterfly,D3,7.0,3082920,5905929,studio,male,1,1,0,0,0,0,0,medium,minimal,6,3,3,1,3,1,5
U00163,Student,GV,12.3,3382820,5317450,studio,male,0,0,0,0,0,0,0,high,minimal,6,6,2,3,1,2,4
U00164,Student,GV,5.8,2101840,5093777,shared_room,female,0,0,0,0,0,0,1,high,minimal,4,6,1,4,3,1,4
U00165,Young Professional,D3,17.6,5032800,6840506,studio,male,1,1,0,0,1,0,0,high,standard,5,6,3,3,3,3,3
U00166,Privacy Seeker,TX,5.4,1330970,6025269,studio,any,1,0,1,0,0,0,0,basic,standard,1,3,4,4,3,5,1
U00167,Student,TD,12.8,2137676,5206696,shared_room,any,0,0,1,0,1,0,1,high,standard,3,3,2,5,4,2,3
U00168,Privacy Seeker,TB,15.2,3524860,4827994,shared_room,male,0,0,1,0,0,0,0,medium,standard,1,12,4,4,1,5,2
U00169,Privacy Seeker,CG,2.5,2973942,4536797,shared_room,female,0,1,1,0,1,0,0,high,minimal,2,12,3,1,5,5,2
U00170,Social Butterfly,D1,8.0,3830487,6294305,shared_room,female,1,1,1,0,1,0,1,high,minimal,6,6,2,2,5,1,5
U00171,Social Butterfly,D3,14.5,4773347,7349608,apartment,any,0,1,1,0,0,0,0,high,standard,3,6,3,4,4,1,4
U00172,Young Professional,D3,12.9,4449254,7749864,studio,any,0,1,0,0,0,0,0,high,minimal,3,12,2,3,1,3,3
U00173,Student,GV,12.3,3069443,4833681,shared_room,any,0,1,0,0,0,0,0,medium,standard,5,12,2,5,1,2,4
U00174,Student,GV,1.4,2087172,6632591,studio,any,0,0,0,0,1,0,0,high,standard,4,6,2,1,4,1,4
U00175,Privacy Seeker,TD,18.8,3319903,6859347,studio,any,1,1,1,0,0,0,0,high,standard,1,6,4,3,4,5,1
U00176,Remote Worker,BT,6.4,10914744,13275979,studio,female,0,0,1,1,1,1,1,high,fully_furnished,1,6,4,5,2,4,2
U00177,Privacy Seeker,CG,2.2,2936222,5564939,studio,female,0,0,1,0,1,0,0,medium,minimal,1,3,3,1,2,4,1
U00178,Remote Worker,D2,15.3,7397158,9122393,apartment,male,1,0,1,1,0,1,1,high,standard,2,24,5,5,4,4,2
U00179,Student,TB,7.9,3028130,4959435,shared_room,male,0,0,0,0,1,0,0,basic,fully_furnished,5,3,1,4,4,1,4
U00180,Young Professional,PN,8.8,4650752,7708773,studio,female,0,1,0,0,0,0,0,high,standard,6,12,4,5,2,3,3
U00181,Remote Worker,D7,11.8,10130677,11430962,studio,any,0,0,1,1,0,1,1,high,standard,5,12,3,1,3,3,2
U00182,Young Professional,D3,7.5,3978845,5807587,shared_room,female,0,1,0,1,0,0,1,medium,standard,4,12,3,5,4,3,2
U00183,Student,TD,3.9,3196106,6737149,shared_room,female,0,0,1,0,1,0,0,medium,standard,3,12,2,3,3,2,4
U00184,Young Professional,D1,15.3,5695981,9897047,studio,any,1,0,1,1,1,0,1,medium,standard,1,12,4,4,4,4,3
U00185,Privacy Seeker,TB,13.0,2140188,3259501,shared_room,any,1,1,1,0,0,0,0,medium,minimal,1,12,3,2,4,4,1
U00186,Remote Worker,BT,9.7,8683773,10139345,apartment,male,0,1,0,1,1,1,1,high,fully_furnished,3,6,5,2,4,3,3
U00187,Privacy Seeker,TB,2.8,3777829,6113915,shared_room,male,1,0,1,0,1,0,1,basic,minimal,2,12,3,5,2,4,1
U00188,Social Butterfly,HK,1.6,6391281,11056052,apartment,female,1,1,1,1,1,1,1,high,fully_furnished,4,12,3,4,5,1,4
U00189,Social Butterfly,D1,19.9,3167645,5084780,studio,male,0,0,1,0,0,0,0,medium,standard,3,6,2,5,1,1,4
U00190,Social Butterfly,HK,19.3,5823464,9696856,studio,male,1,0,0,1,0,1,1,medium,fully_furnished,6,6,2,1,5,1,4
U00191,Social Butterfly,HK,7.7,4822429,9247974,studio,male,0,1,1,1,0,0,1,medium,standard,6,3,3,3,1,1,4
U00192,Student,TD,11.9,2550483,5499816,shared_room,female,0,1,0,1,1,0,1,high,minimal,5,6,2,1,3,1,4
U00193,Young Professional,D1,14.5,5606720,8966759,apartment,male,1,0,1,1,0,1,1,high,fully_furnished,2,12,3,1,4,4,3
U00194,Student,TB,13.6,1109025,5056272,studio,male,1,0,1,0,0,0,0,high,fully_furnished,4,12,2,1,1,1,3
U00195,Young Professional,D3,6.5,3818841,8131983,studio,male,1,0,0,1,0,0,1,high,fully_furnished,6,6,3,2,3,2,3
U00196,Remote Worker,D7,6.7,8168169,12182336,studio,male,0,0,1,1,0,0,1,high,standard,1,6,3,3,1,4,3
U00197,Social Butterfly,D3,12.0,7493900,9346514,apartment,any,0,0,1,0,0,1,1,high,standard,3,12,4,5,3,1,5
U00198,Social Butterfly,HK,5.0,7566009,10203304,studio,male,1,1,0,1,0,1,1,medium,standard,4,3,2,1,2,2,5
U00199,Young Professional,PN,13.1,4103825,7955433,apartment,any,1,0,0,0,0,0,0,high,minimal,5,24,2,5,2,3,3
U00200,Remote Worker,D2,8.7,6028672,10110818,studio,female,0,0,1,0,1,1,1,high,fully_furnished,2,12,5,3,3,4,1
U00201,Young Professional,D3,10.8,4566512,6841149,shared_room,female,0,1,1,1,0,0,1,medium,minimal,2,3,4,4,5,4,3
U00202,Student,TD,16.1,3228573,6229791,shared_room,male,0,1,0,1,1,0,1,high,minimal,5,3,3,5,1,1,4
U00203,Remote Worker,D2,14.9,11234799,14840750,studio,male,1,0,0,1,1,1,1,high,minimal,1,3,3,1,5,4,1
U00204,Young Professional,D1,4.8,3220889,8185322,apartment,male,0,0,1,1,1,0,1,high,fully_furnished,1,6,3,3,3,4,3
U00205,Student,TD,10.7,1335364,3099601,shared_room,female,1,0,0,0,1,0,0,medium,minimal,4,12,2,5,1,2,4
U00206,Young Professional,D1,11.4,7528016,9538306,studio,male,1,0,1,1,1,1,1,high,fully_furnished,5,12,3,5,1,3,2
U00207,Young Professional,D3,7.1,7431121,8878762,apartment,male,1,0,1,1,0,1,1,basic,standard,2,24,3,4,2,4,3
U00208,Young Professional,PN,1.6,4204825,7297396,studio,female,1,0,0,0,0,0,0,high,minimal,2,12,3,3,1,4,2
