user_id,room_index,room_recommendation_score,group_compatibility_score,final_co_living_score,action,interaction_value,booking_success,stay_duration_days,timestamp
U00021,28,0.7744,0.537,0.6794,view_detail,0.5,0,0,23:31.8
U00102,1816,0.91,0.5337,0.7595,apply,0.9,0,0,13:24.8
U00851,961,0.6581,0.7025,0.6759,click,0.3,0,0,27:34.8
U00143,2090,0.4989,0.8296,0.6312,click,0.3,0,0,30:28.8
U00560,2216,0.8314,0.6135,0.7442,click,0.3,0,0,50:01.7
U00799,1143,0.9634,0.4901,0.7741,book,1,1,79,53:18.8
U00880,2236,0.8743,0.7943,0.8423,chat_host,0.8,0,0,29:19.7
U00778,1139,0.728,0.6181,0.684,chat_host,0.8,0,0,30:12.8
U00128,647,0.8643,0.4066,0.6812,save,0.7,0,0,49:12.7
U00878,2962,0.9309,0.6876,0.8336,save,0.7,0,0,03:27.7
U00477,1442,0.2741,0.7108,0.4488,impression,0.1,0,0,11:05.8
U00721,920,0.7563,0.6588,0.7173,click,0.3,0,0,31:11.7
U00675,1492,0.9766,0.3911,0.7424,save,0.7,0,0,34:34.7
U00895,1352,0.5459,0.8979,0.6867,click,0.3,0,0,52:49.7
U00324,538,0.4437,0.6774,0.5372,impression,0.1,0,0,55:37.8
U00985,2273,0.9154,0.8095,0.873,chat_host,0.8,0,0,09:42.7
U00810,2435,0.5582,0.6837,0.6084,save,0.7,0,0,59:56.8
U00082,1411,0.8109,0.7214,0.7751,book,1,1,224,04:28.8
U00383,95,0.7325,0.9177,0.8066,chat_host,0.8,0,0,39:18.7
U00685,750,0.823,0.5975,0.7328,save,0.7,0,0,47:26.7
U00261,181,0.4992,0.7059,0.5819,view_detail,0.5,0,0,10:26.6
U00350,1598,0.4346,0.7503,0.5609,click,0.3,0,0,12:48.8
U00459,1320,0.9,0.6515,0.8006,view_detail,0.5,0,0,27:15.8
U00063,2281,0.8512,0.8246,0.8406,book,1,1,116,30:32.7
U00947,727,0.7721,0.5379,0.6784,save,0.7,0,0,38:17.7
U00314,296,0.2875,0.7168,0.4592,impression,0.1,0,0,39:56.8
U00701,957,0.8449,0.3512,0.6474,apply,0.9,0,0,43:55.7
U00865,1503,0.8599,0.6768,0.7867,chat_host,0.8,0,0,09:43.7
U00851,2839,0.3333,0.8723,0.5489,impression,0.1,0,0,35:33.8
U00552,232,0.4319,0.619,0.5067,click,0.3,0,0,16:19.8
U00094,475,0.6669,0.8956,0.7584,save,0.7,0,0,28:08.7
U00378,1483,0.5165,0.8376,0.6449,save,0.7,0,0,28:28.7
U00905,2778,0.8916,0.6393,0.7907,save,0.7,0,0,51:02.7
U00123,2968,0.9377,0.6729,0.8318,click,0.3,0,0,51:23.7
U00528,1692,0.7268,0.6592,0.6998,view_detail,0.5,0,0,28:33.7
U00466,172,0.8897,0.8892,0.8895,chat_host,0.8,0,0,30:04.7
U00241,2824,0.6778,0.7079,0.6898,save,0.7,0,0,55:00.7
U00994,1655,0.677,0.6256,0.6564,click,0.3,0,0,11:20.6
U00466,2965,0.5933,0.7669,0.6627,save,0.7,0,0,31:29.8
U00662,8,0.3648,0.7721,0.5277,impression,0.1,0,0,35:35.7
U00075,632,0.6896,0.4786,0.6052,click,0.3,0,0,13:21.8
U00474,2957,0.6901,0.7285,0.7055,click,0.3,0,0,25:16.7
U00341,104,0.5986,0.3003,0.4793,impression,0.1,0,0,40:44.7
U00973,2424,0.6774,0.7151,0.6925,save,0.7,0,0,56:51.7
U00482,1765,0.8268,0.5585,0.7195,save,0.7,0,0,08:55.7
U00568,942,0.5371,0.7302,0.6143,view_detail,0.5,0,0,49:45.6
U00055,1867,0.9162,0.9145,0.9155,save,0.7,0,0,51:33.8
U00330,1342,0.7315,0.9568,0.8216,save,0.7,0,0,18:37.8
U00759,213,0.9013,0.7132,0.8261,book,1,1,331,08:02.7
U00496,2514,0.7822,0.4306,0.6416,view_detail,0.5,0,0,00:40.7
U00311,1900,0.9035,0.8065,0.8647,save,0.7,0,0,07:37.8
U00422,555,0.4193,0.6244,0.5013,view_detail,0.5,0,0,46:49.8
U00300,2371,0.7171,0.6165,0.6769,chat_host,0.8,0,0,47:40.8
U00232,2923,0.775,0.6083,0.7083,click,0.3,0,0,49:55.7
U00848,2803,0.7754,0.4918,0.662,view_detail,0.5,0,0,19:16.7
U00683,2575,0.892,0.3089,0.6588,click,0.3,0,0,02:38.8
U00993,1702,0.8921,0.5201,0.7433,click,0.3,0,0,10:34.7
U00043,2128,0.6276,0.7081,0.6598,chat_host,0.8,0,0,31:06.7
U00712,1444,0.6995,0.7981,0.7389,save,0.7,0,0,35:22.8
U00912,2276,0.7651,0.9124,0.824,click,0.3,0,0,46:09.7
U00882,567,0.918,0.6315,0.8034,save,0.7,0,0,47:01.8
U00605,738,0.632,0.7296,0.671,view_detail,0.5,0,0,15:30.7
U00890,1299,0.7004,0.5784,0.6516,chat_host,0.8,0,0,02:24.7
U00725,2006,0.8432,0.8298,0.8378,view_detail,0.5,0,0,04:42.8
U00892,2763,0.6441,0.6503,0.6466,chat_host,0.8,0,0,31:06.7
U00209,136,0.595,0.1607,0.4213,click,0.3,0,0,20:08.7
U00211,1639,0.9002,0.881,0.8925,apply,0.9,0,0,27:15.7
U00637,360,0.6099,0.7457,0.6642,save,0.7,0,0,34:05.7
U00449,327,0.9307,0.8172,0.8853,click,0.3,0,0,03:06.8
U00417,2561,0.5878,0.5476,0.5717,chat_host,0.8,0,0,17:28.8
U00388,1658,0.8385,0.6502,0.7632,chat_host,0.8,0,0,21:17.8
U00498,555,0.8753,0.3202,0.6533,view_detail,0.5,0,0,25:08.8
U00608,1285,0.7032,0.6125,0.6669,view_detail,0.5,0,0,51:41.7
U00644,1273,0.8648,0.8044,0.8406,save,0.7,0,0,54:04.7
U00283,428,0.7585,0.7485,0.7545,view_detail,0.5,0,0,55:24.7
U00812,1974,0.8422,0.6038,0.7468,click,0.3,0,0,30:56.7
U00030,2958,0.6892,0.8186,0.741,save,0.7,0,0,39:38.8
U00485,1494,0.6235,0.7218,0.6628,view_detail,0.5,0,0,44:10.8
U00107,738,0.8183,0.7544,0.7927,apply,0.9,0,0,30:28.8
U00118,2769,0.2933,0.6026,0.417,view_detail,0.5,0,0,32:53.8
U00479,780,0.43,0.6786,0.5294,view_detail,0.5,0,0,43:45.8
U00444,989,0.7319,0.806,0.7615,click,0.3,0,0,54:09.7
U00693,2717,0.6756,0.6214,0.6539,view_detail,0.5,0,0,57:32.7
U00437,436,0.6469,0.7697,0.696,click,0.3,0,0,03:51.8
U00883,2453,0.6629,0.6587,0.6612,view_detail,0.5,0,0,26:28.7
U00643,1233,0.673,0.5967,0.6425,save,0.7,0,0,33:00.7
U00059,2507,0.9406,0.4648,0.7503,view_detail,0.5,0,0,14:09.7
U00873,1565,0.7292,0.9254,0.8077,view_detail,0.5,0,0,14:09.8
U00480,1372,0.7347,0.9746,0.8307,save,0.7,0,0,16:49.8
U00232,761,0.6998,0.7696,0.7277,save,0.7,0,0,17:11.7
U00010,250,0.7688,0.619,0.7089,save,0.7,0,0,27:02.7
U00453,1478,0.888,0.8575,0.8758,save,0.7,0,0,35:12.7
U00696,272,0.4964,0.6533,0.5592,save,0.7,0,0,51:30.8
U00439,161,0.8753,0.7687,0.8327,book,1,1,52,12:57.8
U00510,2042,0.7262,0.8517,0.7764,save,0.7,0,0,22:49.7
U00818,2534,0.6425,0.5261,0.5959,chat_host,0.8,0,0,03:33.7
U00413,787,0.6988,0.9329,0.7924,save,0.7,0,0,32:24.8
U00399,2757,0.539,0.8914,0.68,chat_host,0.8,0,0,35:52.7
U00614,1748,0.4519,0.8978,0.6303,save,0.7,0,0,03:30.8
U00806,267,0.7603,0.7308,0.7485,chat_host,0.8,0,0,09:54.7
U00321,2243,0.743,0.6466,0.7044,apply,0.9,0,0,43:06.7
U00165,2592,0.9527,0.4236,0.7411,save,0.7,0,0,53:52.7
U00095,241,0.6432,0.6378,0.641,save,0.7,0,0,30:56.7
U00495,1153,0.4257,0.5511,0.4759,impression,0.1,0,0,16:16.8
U00258,2266,0.8866,0.4545,0.7138,click,0.3,0,0,24:54.6
U00617,2910,0.9631,0.7976,0.8969,apply,0.9,0,0,51:04.7
U00145,1019,0.8463,0.6759,0.7781,apply,0.9,0,0,54:10.7
U00222,2513,0.8047,0.472,0.6716,save,0.7,0,0,55:07.7
U00157,2554,0.3399,0.9298,0.5759,click,0.3,0,0,12:24.7
U00234,2115,0.9041,0.9818,0.9352,book,1,1,263,21:05.8
U00085,337,0.8529,0.7314,0.8043,view_detail,0.5,0,0,42:26.7
U00587,1046,0.8606,0.7109,0.8007,chat_host,0.8,0,0,16:13.7
U00466,235,0.8228,0.8359,0.828,chat_host,0.8,0,0,30:01.7
U00392,1532,0.6016,0.7572,0.6638,chat_host,0.8,0,0,22:28.7
U00777,643,0.8172,0.4545,0.6721,save,0.7,0,0,10:49.7
U00276,512,0.5115,0.8648,0.6528,view_detail,0.5,0,0,43:14.7
U00523,1767,0.7691,0.6822,0.7343,save,0.7,0,0,08:20.8
U00310,2385,0.8384,0.8214,0.8316,save,0.7,0,0,46:02.6
U00066,548,0.8888,0.6634,0.7986,view_detail,0.5,0,0,47:07.8
U00255,1540,0.7374,0.4533,0.6238,save,0.7,0,0,06:02.7
U00614,843,0.6975,0.6069,0.6613,chat_host,0.8,0,0,08:38.8
U00050,847,0.8294,0.8304,0.8298,save,0.7,0,0,09:03.8
U00684,1240,0.8433,0.3617,0.6507,click,0.3,0,0,28:16.8
U00537,2928,0.5782,0.5626,0.572,click,0.3,0,0,48:40.7
U00955,765,0.3718,0.608,0.4663,impression,0.1,0,0,05:41.7
U00412,1456,0.6913,0.2419,0.5115,click,0.3,0,0,26:52.8
U00224,801,0.5495,0.7887,0.6452,view_detail,0.5,0,0,25:57.7
U00476,85,0.6621,0.7735,0.7067,click,0.3,0,0,52:05.7
U00770,710,0.8811,0.3426,0.6657,view_detail,0.5,0,0,40:35.7
U00941,2824,0.4019,0.4105,0.4053,impression,0.1,0,0,39:14.8
U00548,2715,0.8783,0.5088,0.7305,chat_host,0.8,0,0,59:50.8
U00594,1602,0.8917,0.5685,0.7624,chat_host,0.8,0,0,04:43.8
U00992,1421,0.9032,0.8641,0.8876,apply,0.9,0,0,24:35.7
U00048,2302,0.8086,0.8517,0.8258,chat_host,0.8,0,0,27:13.8
U00967,121,0.7976,0.8066,0.8012,chat_host,0.8,0,0,04:49.7
U00747,905,0.7895,0.7186,0.7611,book,1,1,282,30:33.8
U00364,2838,0.8718,0.477,0.7139,view_detail,0.5,0,0,39:59.7
U00579,748,0.7083,0.6242,0.6747,view_detail,0.5,0,0,52:25.7
U00739,204,0.9313,0.9032,0.9201,chat_host,0.8,0,0,08:27.8
U00850,1028,0.6069,0.7126,0.6492,chat_host,0.8,0,0,16:24.7
U00739,739,0.4275,0.4428,0.4336,impression,0.1,0,0,14:16.7
U00766,2673,0.9012,0.7656,0.847,view_detail,0.5,0,0,19:24.7
U00211,1816,0.9837,0.8913,0.9467,book,1,1,197,25:40.7
U00504,1344,0.7595,0.5274,0.6667,save,0.7,0,0,39:50.8
U00554,1524,0.6912,0.4854,0.6089,save,0.7,0,0,49:54.8
U00445,1280,0.8753,0.7825,0.8382,chat_host,0.8,0,0,40:19.8
U00361,2071,0.8474,0.6081,0.7517,book,1,1,357,59:54.8
U00593,2714,0.7272,0.4436,0.6138,click,0.3,0,0,29:40.7
U00775,771,0.8465,0.7023,0.7888,chat_host,0.8,0,0,30:18.8
U00945,11,0.6346,0.7725,0.6898,save,0.7,0,0,15:50.7
U00402,1473,0.8603,0.4425,0.6932,view_detail,0.5,0,0,21:32.8
U00050,810,0.7677,0.7273,0.7515,click,0.3,0,0,26:57.7
U00676,1821,0.8736,0.4265,0.6948,view_detail,0.5,0,0,45:44.7
U00884,1656,0.8952,0.9212,0.9056,save,0.7,0,0,06:07.7
U00242,2592,0.6044,0.3684,0.51,impression,0.1,0,0,20:16.7
U00290,274,0.5962,0.8192,0.6854,view_detail,0.5,0,0,24:30.8
U00573,925,0.5356,0.5755,0.5516,save,0.7,0,0,15:29.7
U00222,1245,0.8666,0.9272,0.8908,view_detail,0.5,0,0,38:42.7
U00632,2027,0.7631,0.7859,0.7722,book,1,1,224,47:27.7
U00860,1692,0.7729,0.7165,0.7503,book,1,1,107,05:08.8
U00868,1894,0.8664,0.7517,0.8205,chat_host,0.8,0,0,07:17.8
U00234,2084,0.669,0.4744,0.5912,apply,0.9,0,0,08:53.7
U00766,2196,0.4251,0.6891,0.5307,impression,0.1,0,0,20:37.7
U00965,2822,0.9419,0.8247,0.895,view_detail,0.5,0,0,27:43.8
U00198,926,0.6261,0.8196,0.7035,apply,0.9,0,0,04:10.7
U00614,2376,0.7529,0.7962,0.7702,click,0.3,0,0,06:35.7
U00610,1467,0.7552,0.4951,0.6512,save,0.7,0,0,11:28.7
U00764,975,0.7067,0.3246,0.5539,chat_host,0.8,0,0,27:51.7
U00399,2496,0.6867,0.8585,0.7554,apply,0.9,0,0,07:27.7
U00809,1785,0.3839,0.3353,0.3645,impression,0.1,0,0,33:29.7
U00292,46,0.6434,0.74,0.682,view_detail,0.5,0,0,35:06.7
U00205,2992,0.746,0.6643,0.7133,save,0.7,0,0,58:33.7
U00407,485,0.6974,0.8249,0.7484,view_detail,0.5,0,0,00:04.8
U00885,308,0.5176,0.3882,0.4658,impression,0.1,0,0,39:53.7
U00073,2163,0.7879,0.868,0.8199,view_detail,0.5,0,0,23:29.7
U00481,171,0.5427,0.7093,0.6093,view_detail,0.5,0,0,37:00.7
U00696,52,0.744,0.7052,0.7285,save,0.7,0,0,00:34.8
U00381,1138,0.9567,0.776,0.8844,apply,0.9,0,0,13:22.7
U00431,614,0.729,0.6563,0.6999,chat_host,0.8,0,0,17:22.8
U00490,2772,0.8377,0.5828,0.7357,view_detail,0.5,0,0,28:50.8
U00944,1100,0.6951,0.6573,0.68,view_detail,0.5,0,0,44:47.8
U00004,2550,0.9524,0.6086,0.8149,view_detail,0.5,0,0,56:35.7
U00355,1089,0.6556,0.746,0.6918,view_detail,0.5,0,0,01:33.8
U00079,277,0.8408,0.897,0.8633,save,0.7,0,0,08:24.8
U00089,98,0.4721,0.692,0.5601,click,0.3,0,0,17:09.8
U00268,1605,0.7822,0.7549,0.7713,apply,0.9,0,0,19:09.8
U00842,2375,0.9362,0.7183,0.849,view_detail,0.5,0,0,25:46.7
U00291,1144,0.5977,0.8367,0.6933,chat_host,0.8,0,0,28:27.7
U00690,1016,0.7813,0.7333,0.7621,book,1,1,182,59:14.8
U00594,345,0.8277,0.8405,0.8328,book,1,1,248,27:10.8
U00500,2463,0.5978,0.7044,0.6404,save,0.7,0,0,13:14.8
U00164,1590,0.7581,0.5375,0.6699,view_detail,0.5,0,0,28:00.7
U00727,648,0.7206,0.8703,0.7805,chat_host,0.8,0,0,21:04.6
U00890,2010,0.732,0.7165,0.7258,chat_host,0.8,0,0,08:43.6
U00051,1998,0.5957,0.6568,0.6201,save,0.7,0,0,05:55.8
U00103,2966,0.7248,0.4956,0.6331,view_detail,0.5,0,0,12:34.7
U00533,1876,0.2229,0.8799,0.4857,view_detail,0.5,0,0,55:45.7
U00864,1618,0.6057,0.4224,0.5324,impression,0.1,0,0,08:45.8
U00433,1100,0.8461,0.507,0.7105,chat_host,0.8,0,0,48:43.7
U00655,2853,0.9182,0.7643,0.8566,book,1,1,308,15:13.8
U00935,1979,0.6887,0.4416,0.5899,view_detail,0.5,0,0,29:06.6
U00989,1840,0.3726,0.6794,0.4953,view_detail,0.5,0,0,35:35.7
U00390,2826,0.5457,0.3139,0.453,impression,0.1,0,0,23:16.8
U00836,479,0.9218,0.8629,0.8982,book,1,1,31,32:21.7
U00757,2411,0.5951,0.8711,0.7055,view_detail,0.5,0,0,43:10.8
U00122,2037,0.6062,0.7369,0.6585,view_detail,0.5,0,0,58:53.7
U00769,1949,0.814,0.7889,0.804,save,0.7,0,0,37:25.7
U00699,1267,0.6825,0.7559,0.7119,click,0.3,0,0,10:21.8
U00253,1495,0.5338,0.605,0.5623,chat_host,0.8,0,0,13:21.8
U00138,47,0.7163,0.7702,0.7379,chat_host,0.8,0,0,29:13.7
U00986,1265,0.7895,0.7191,0.7613,apply,0.9,0,0,07:47.7
U00146,2787,0.356,0.671,0.482,impression,0.1,0,0,28:41.7
U00439,900,0.7656,0.5324,0.6723,save,0.7,0,0,30:08.8
U00388,1578,0.7169,0.4057,0.5924,chat_host,0.8,0,0,36:42.7
U00631,63,0.749,0.6725,0.7184,save,0.7,0,0,47:33.8
U00026,292,0.8098,0.6837,0.7594,chat_host,0.8,0,0,06:36.7
U00876,652,0.825,0.544,0.7126,view_detail,0.5,0,0,10:53.8
U00987,1230,0.8727,0.6351,0.7777,book,1,0,0,24:19.8
U00571,135,0.8316,0.8495,0.8388,save,0.7,0,0,59:11.7
U00557,464,0.9159,0.6492,0.8092,book,1,1,162,00:09.8
U00033,2704,0.9452,0.749,0.8667,chat_host,0.8,0,0,00:24.6
U00631,21,0.6607,0.7328,0.6895,click,0.3,0,0,33:44.6
U00383,2099,0.7337,0.683,0.7134,view_detail,0.5,0,0,41:38.7
U00577,906,0.7003,0.2826,0.5332,click,0.3,0,0,44:20.6
U00649,957,0.7736,0.4795,0.656,click,0.3,0,0,02:39.7
U00675,2178,0.7068,0.7202,0.7122,chat_host,0.8,0,0,15:19.7
U00699,361,0.3408,0.9957,0.6028,view_detail,0.5,0,0,25:09.8
U00519,27,0.8204,0.7346,0.7861,chat_host,0.8,0,0,02:51.8
U00708,1372,0.8256,0.5978,0.7345,click,0.3,0,0,07:47.8
U00279,1521,0.5581,0.8534,0.6762,click,0.3,0,0,14:13.8
U00241,857,0.7967,0.6395,0.7338,view_detail,0.5,0,0,18:26.7
U00241,1481,0.6478,0.8923,0.7456,apply,0.9,0,0,26:20.7
U00907,603,0.6631,0.7494,0.6976,view_detail,0.5,0,0,49:12.8
U00286,2497,0.8494,0.4111,0.6741,save,0.7,0,0,10:26.7
U00216,487,0.7405,0.713,0.7295,view_detail,0.5,0,0,14:29.8
U00969,753,0.595,0.4984,0.5564,save,0.7,0,0,29:27.7
U00964,2365,0.5882,0.5048,0.5548,apply,0.9,0,0,43:38.7
U00626,2373,0.766,0.8948,0.8175,apply,0.9,0,0,07:13.8
U00280,20,0.6117,0.8956,0.7253,save,0.7,0,0,19:46.7
U00384,977,0.6988,0.8127,0.7444,chat_host,0.8,0,0,35:50.7
U00868,732,0.7223,0.7898,0.7493,save,0.7,0,0,15:39.7
U00310,1818,0.8453,0.5845,0.741,apply,0.9,0,0,10:30.8
U00718,425,0.8758,0.5781,0.7567,save,0.7,0,0,22:05.7
U00754,579,0.5804,0.4983,0.5476,impression,0.1,0,0,24:03.7
U00368,1211,0.9649,0.8765,0.9295,book,1,0,0,42:46.7
U00549,2238,0.8985,0.6941,0.8167,click,0.3,0,0,30:45.7
U00728,1957,0.9083,0.5182,0.7523,book,1,0,0,44:13.7
U00163,2794,0.8935,0.2681,0.6433,view_detail,0.5,0,0,31:06.8
U00545,2259,0.9014,0.3667,0.6875,save,0.7,0,0,31:11.6
U00749,1145,0.6723,0.8351,0.7374,chat_host,0.8,0,0,48:36.7
U00881,1553,0.5991,0.3718,0.5082,impression,0.1,0,0,21:36.7
U00835,1974,0.3666,0.6734,0.4893,view_detail,0.5,0,0,29:07.8
U00611,1174,0.7892,0.8454,0.8117,chat_host,0.8,0,0,46:36.7
U00904,1517,0.8486,0.7466,0.8078,view_detail,0.5,0,0,01:46.8
U00802,785,0.7633,0.6362,0.7125,view_detail,0.5,0,0,51:30.8
U00572,1884,0.601,0.5388,0.5761,view_detail,0.5,0,0,58:41.7
U00586,2698,0.8242,0.6785,0.7659,chat_host,0.8,0,0,00:10.8
U00435,1634,0.4611,0.5834,0.51,click,0.3,0,0,44:31.8
U00513,1875,0.4863,0.698,0.571,view_detail,0.5,0,0,41:30.7
U00039,1591,0.4514,0.1242,0.3205,view_detail,0.5,0,0,28:52.8
U00581,979,0.8856,0.4509,0.7117,save,0.7,0,0,07:12.8
U00575,1786,0.6284,0.8195,0.7048,view_detail,0.5,0,0,31:26.8
U00883,2084,0.9074,0.6694,0.8122,view_detail,0.5,0,0,55:26.7
U00181,1072,0.5939,0.7928,0.6735,click,0.3,0,0,14:28.7
U00262,2472,0.7997,0.7255,0.77,save,0.7,0,0,21:05.7
U00362,1020,0.5549,0.7332,0.6262,click,0.3,0,0,23:26.8
U00326,2421,0.4341,0.8087,0.5839,view_detail,0.5,0,0,24:35.7
U00525,2608,0.7362,0.7549,0.7437,click,0.3,0,0,01:37.7
U00324,1065,0.8587,0.6973,0.7941,save,0.7,0,0,23:25.7
U00133,427,0.8787,0.6354,0.7814,book,1,1,53,57:25.8
U00726,1505,0.7219,0.5844,0.6669,click,0.3,0,0,24:56.8
U00665,191,0.722,0.7325,0.7262,view_detail,0.5,0,0,21:27.8
U00171,1637,0.9652,0.6127,0.8242,save,0.7,0,0,21:46.8
U00943,1100,0.5089,0.6445,0.5631,click,0.3,0,0,32:44.7
U00412,2412,0.5645,0.773,0.6479,apply,0.9,0,0,37:18.7
U00458,1079,0.7052,0.9233,0.7924,save,0.7,0,0,55:11.8
U00825,1796,0.8552,0.9001,0.8732,save,0.7,0,0,59:54.7
U00553,81,0.5612,0.7687,0.6442,click,0.3,0,0,03:00.7
U00856,2562,0.7345,0.88,0.7927,book,1,1,322,51:45.8
U00442,1745,0.7195,0.6495,0.6915,click,0.3,0,0,15:26.7
U00264,656,0.8644,0.7579,0.8218,chat_host,0.8,0,0,57:48.7
U00852,2431,0.6702,0.6156,0.6484,click,0.3,0,0,31:11.8
U00457,2298,0.8847,0.6424,0.7878,save,0.7,0,0,44:19.8
U00587,1841,0.6079,0.5282,0.576,click,0.3,0,0,11:15.7
U00223,2281,0.8024,0.449,0.661,save,0.7,0,0,20:39.8
U00448,2146,0.7301,0.6525,0.6991,save,0.7,0,0,24:49.7
U00480,1228,0.7743,0.5556,0.6868,save,0.7,0,0,33:47.7
U00586,1253,0.8769,0.4803,0.7183,view_detail,0.5,0,0,04:39.8
U00007,262,0.8787,0.451,0.7076,view_detail,0.5,0,0,17:03.8
U00240,1186,0.7791,0.7323,0.7604,save,0.7,0,0,12:41.8
U00844,2204,0.8545,0.6234,0.7621,apply,0.9,0,0,14:18.8
U00785,2699,0.5219,0.7283,0.6045,view_detail,0.5,0,0,16:21.7
U00122,1663,0.6905,0.672,0.6831,click,0.3,0,0,20:55.7
U00254,920,0.6305,0.8112,0.7028,chat_host,0.8,0,0,39:50.6
U00770,385,0.9205,0.7238,0.8418,save,0.7,0,0,18:50.7
U00030,586,0.8861,0.3776,0.6827,save,0.7,0,0,23:32.7
U00005,1228,0.9264,0.4911,0.7523,click,0.3,0,0,11:56.8
U00268,836,0.627,0.861,0.7206,chat_host,0.8,0,0,17:37.7
U00011,757,0.7386,0.7929,0.7603,apply,0.9,0,0,18:53.7
U00851,2841,0.6305,0.6606,0.6425,view_detail,0.5,0,0,07:34.8
U00455,2884,0.6911,0.9303,0.7868,book,1,1,342,13:07.8
U00560,1434,0.9606,0.8548,0.9183,chat_host,0.8,0,0,26:53.8
U00569,2098,0.7509,0.7707,0.7588,chat_host,0.8,0,0,30:26.6
U00172,1582,0.4478,0.7813,0.5812,view_detail,0.5,0,0,56:25.8
U00873,2596,0.5332,0.5849,0.5539,save,0.7,0,0,08:34.7
U00726,2308,0.8582,0.9904,0.9111,chat_host,0.8,0,0,00:55.8
U00818,714,0.6673,0.7105,0.6846,chat_host,0.8,0,0,02:35.6
U00955,2796,0.8962,0.8137,0.8632,apply,0.9,0,0,07:15.8
U00761,413,0.8743,0.8319,0.8573,book,1,1,250,19:20.7
U00033,2822,0.7805,0.8859,0.8227,save,0.7,0,0,02:30.7
U00715,2684,0.4797,0.3527,0.4289,impression,0.1,0,0,39:27.8
U00615,1967,0.2758,0.8888,0.521,impression,0.1,0,0,46:45.7
U00183,333,0.6808,0.7919,0.7252,click,0.3,0,0,51:14.7
U00639,1059,0.8646,0.276,0.6292,save,0.7,0,0,52:27.8
U00781,533,0.8441,0.948,0.8857,apply,0.9,0,0,41:14.7
U00419,26,0.6258,0.6732,0.6448,save,0.7,0,0,50:42.8
U00162,2332,0.5364,0.7603,0.626,view_detail,0.5,0,0,57:09.8
U00988,1274,0.584,0.69,0.6264,chat_host,0.8,0,0,36:08.6
U00048,1745,0.9508,0.905,0.9325,book,1,1,296,54:45.8
U00173,998,0.3734,0.7415,0.5206,impression,0.1,0,0,50:38.8
U00819,799,0.7709,0.7515,0.7631,book,1,0,0,41:56.7
U00431,2418,0.7803,0.7923,0.7851,chat_host,0.8,0,0,59:35.8
U00960,1938,0.9309,0.7924,0.8755,save,0.7,0,0,41:57.7
U00022,2387,0.7739,0.8129,0.7895,book,1,1,160,16:33.8
U00708,2049,0.7283,0.6236,0.6864,chat_host,0.8,0,0,49:17.6
U00287,2131,0.8622,0.3968,0.676,click,0.3,0,0,04:14.7
U00159,2734,0.6023,0.78,0.6734,click,0.3,0,0,14:54.7
