roomId,roomType,districtId,preferredGender,allowSmoking,allowPets,cleanlinessRequired,noiseTolerance,guestPolicy,preferredSleepHabit,preferredOccupation,curfewPolicy,maxOccupants,minimumBudget
R00178,private_room,PN,female,outside_only,not_allowed,medium,low,rarely,very_early,any,none,1,7369872
R00179,shared_room,HM,any,not_allowed,not_allowed,medium,low,rarely,very_late,office_worker,before_11pm,2,713066
R00180,studio,Q10,any,not_allowed,not_allowed,high,low,occasionally,normal,any,none,1,7102236
R00181,private_room,Q7,male,not_allowed,not_allowed,high,low,rarely,normal,student,before_11pm,1,4549767
R00182,private_room,Q5,male,outside_only,not_allowed,low,low,rarely,normal,student,before_midnight,1,4659071
R00183,shared_room,HK,any,not_allowed,cats_only,medium,high,rarely,late,student,none,4,3419519
R00184,private_room,NTL,female,not_allowed,cats_only,medium,high,occasionally,early,student,none,1,5754870
R00185,private_room,Q11,female,outside_only,small_pets_only,medium,medium,occasionally,late,student,before_midnight,1,6756502
R00186,studio,Q3,any,not_allowed,not_allowed,medium,medium,occasionally,very_late,any,none,2,7954367
R00187,shared_room,NTL,female,not_allowed,allowed,medium,low,occasionally,normal,student,none,4,1636015
R00188,shared_room,Q12,any,not_allowed,allowed,high,medium,occasionally,late,office_worker,before_midnight,2,658407
R00189,shared_room,TP,male,not_allowed,small_pets_only,high,low,occasionally,normal,student,none,4,883403
R00190,shared_room,BT,any,not_allowed,small_pets_only,high,medium,occasionally,early,any,none,2,1958762
R00191,private_room,Q8,male,allowed,not_allowed,medium,low,rarely,normal,any,before_midnight,1,1503720
R00192,private_room,TD,male,not_allowed,small_pets_only,medium,low,frequently,normal,student,none,1,3508439
R00193,private_room,LB,female,not_allowed,not_allowed,medium,medium,occasionally,normal,office_worker,none,1,5260942
R00194,studio,Q12,any,allowed,not_allowed,medium,low,occasionally,normal,office_worker,before_midnight,2,2686247
R00195,studio,HBT,any,allowed,small_pets_only,medium,medium,occasionally,normal,any,none,2,7706704
R00196,private_room,TP,female,outside_only,not_allowed,medium,medium,occasionally,late,student,none,1,4018474
R00197,shared_room,BD,male,not_allowed,allowed,medium,low,rarely,late,student,none,3,1710742
R00198,shared_room,HL,any,not_allowed,not_allowed,medium,low,rarely,late,student,none,2,1273827
R00199,shared_room,Q6,any,not_allowed,not_allowed,medium,low,rarely,normal,student,before_midnight,4,1278505
R00200,private_room,TD,male,not_allowed,small_pets_only,medium,medium,occasionally,very_early,student,before_11pm,1,5636262
R00201,private_room,GL,male,allowed,allowed,medium,high,rarely,very_early,student,none,1,1389663
R00202,shared_room,DA,male,not_allowed,not_allowed,high,high,rarely,late,office_worker,before_11pm,4,698254
R00203,private_room,HL,any,not_allowed,not_allowed,medium,low,occasionally,late,student,none,1,5112580
R00204,shared_room,LB,male,allowed,allowed,high,low,rarely,early,student,none,2,655705
R00205,private_room,CG,male,outside_only,allowed,low,high,occasionally,normal,student,before_midnight,1,3678663
R00206,shared_room,Q8,female,not_allowed,allowed,medium,medium,occasionally,normal,any,none,3,802755
R00207,shared_room,Q7,male,not_allowed,not_allowed,high,low,rarely,early,student,before_11pm,4,2240914
R00208,shared_room,GV,female,not_allowed,cats_only,medium,medium,occasionally,normal,student,none,2,1105762
R00209,private_room,GV,female,outside_only,not_allowed,medium,medium,occasionally,normal,any,before_midnight,1,1962113
R00210,shared_room,Q6,male,outside_only,small_pets_only,high,medium,occasionally,very_late,student,before_11pm,4,1087085
R00211,private_room,BD,female,outside_only,cats_only,high,low,occasionally,normal,student,none,1,5560863
R00212,private_room,BC,female,not_allowed,small_pets_only,high,medium,rarely,normal,any,none,1,4687873
R00213,studio,BTL,any,not_allowed,small_pets_only,low,medium,rarely,early,any,none,2,6665490
R00214,private_room,Q6,male,allowed,allowed,low,low,frequently,normal,student,before_midnight,1,6276872
R00215,studio,HD,any,allowed,cats_only,high,medium,occasionally,very_early,office_worker,none,2,5654688
R00216,shared_room,Q12,female,not_allowed,small_pets_only,high,low,frequently,normal,student,none,3,1015574
R00217,studio,NB,any,allowed,small_pets_only,medium,low,occasionally,late,student,before_11pm,2,6417842
R00218,shared_room,Q1,male,not_allowed,not_allowed,high,medium,rarely,normal,any,none,4,2127190
R00219,shared_room,LB,any,not_allowed,cats_only,high,medium,rarely,normal,office_worker,none,3,1412198
R00220,private_room,PN,female,not_allowed,not_allowed,medium,low,frequently,late,student,before_11pm,1,2539099
R00221,private_room,CG,female,allowed,cats_only,high,medium,rarely,early,office_worker,before_midnight,1,5497308
R00222,shared_room,GL,male,not_allowed,allowed,high,low,rarely,normal,student,none,3,1053236
R00223,private_room,Q3,male,not_allowed,small_pets_only,high,medium,occasionally,late,office_worker,before_midnight,1,5422484
R00224,private_room,Q3,female,not_allowed,not_allowed,high,high,rarely,normal,any,before_midnight,1,3252782
R00225,private_room,TTR,male,not_allowed,not_allowed,low,medium,rarely,normal,student,before_11pm,1,4558665
R00226,studio,LB,any,not_allowed,allowed,low,low,occasionally,early,student,none,2,5215897
R00227,shared_room,CG,male,not_allowed,not_allowed,medium,high,occasionally,late,any,before_midnight,4,2201998
R00228,studio,GL,any,outside_only,not_allowed,low,low,rarely,late,student,none,1,4083263
R00229,shared_room,PN,female,not_allowed,allowed,high,low,occasionally,early,student,before_11pm,4,1613236
R00230,studio,HK,any,not_allowed,not_allowed,low,high,frequently,late,student,none,2,14142729
R00231,shared_room,GL,male,not_allowed,small_pets_only,high,high,rarely,normal,student,before_midnight,3,538049
R00232,private_room,GV,female,not_allowed,cats_only,medium,medium,occasionally,very_late,any,before_11pm,1,2691587
R00233,private_room,Q6,any,not_allowed,not_allowed,high,medium,frequently,very_late,any,none,1,4340846
R00234,studio,HM,any,not_allowed,not_allowed,low,medium,occasionally,early,office_worker,before_11pm,2,2115489
R00235,private_room,TP,female,outside_only,small_pets_only,medium,high,occasionally,normal,student,before_11pm,1,4013513
R00236,shared_room,TX,any,outside_only,small_pets_only,medium,low,rarely,normal,student,before_midnight,4,1895396
R00237,studio,HM,any,not_allowed,not_allowed,medium,low,frequently,early,office_worker,none,2,4425237
R00238,private_room,BC,female,allowed,not_allowed,low,medium,occasionally,normal,student,none,1,4735658
R00239,private_room,TD,male,not_allowed,allowed,medium,high,occasionally,late,student,none,1,4613773
R00240,private_room,TX,female,outside_only,small_pets_only,medium,medium,occasionally,early,student,none,1,3864112
R00241,shared_room,TX,any,not_allowed,not_allowed,high,medium,rarely,early,student,none,3,1250604
R00242,private_room,Q1,female,allowed,not_allowed,medium,medium,occasionally,very_early,student,none,1,4316898
R00243,studio,TP,any,allowed,allowed,high,medium,occasionally,normal,any,before_11pm,1,5144877
R00244,shared_room,LB,male,outside_only,not_allowed,medium,medium,rarely,normal,student,before_11pm,2,1285849
R00245,shared_room,DD,female,not_allowed,not_allowed,medium,low,rarely,normal,student,none,4,1026634
R00246,private_room,TD,male,not_allowed,not_allowed,high,medium,rarely,normal,student,none,1,1809126
R00247,private_room,DA,any,not_allowed,not_allowed,medium,low,rarely,early,student,none,1,4080674
R00248,shared_room,TX,male,not_allowed,not_allowed,high,medium,rarely,very_late,student,none,3,1046593
R00249,private_room,Q12,male,not_allowed,small_pets_only,medium,low,frequently,normal,any,none,1,4291976
R00250,shared_room,TX,any,outside_only,not_allowed,medium,medium,occasionally,early,office_worker,before_midnight,2,1691188
R00251,private_room,DD,female,not_allowed,not_allowed,medium,low,frequently,normal,student,before_midnight,1,2809393
R00252,shared_room,HD,any,not_allowed,allowed,medium,medium,occasionally,very_early,any,before_midnight,3,759869
R00253,shared_room,GL,any,not_allowed,cats_only,high,low,rarely,very_early,student,before_11pm,2,1121398
R00254,private_room,HBT,male,allowed,not_allowed,medium,low,rarely,very_early,student,before_11pm,1,3256880
R00255,private_room,BT,female,outside_only,not_allowed,low,low,rarely,very_early,student,before_midnight,1,5886430
R00256,studio,GV,any,outside_only,not_allowed,medium,high,occasionally,early,student,none,2,3326956
R00257,private_room,DA,male,not_allowed,allowed,medium,medium,rarely,normal,student,before_midnight,1,4232197
R00258,shared_room,HK,female,not_allowed,not_allowed,medium,high,rarely,normal,student,none,4,2568052
R00259,private_room,DD,male,not_allowed,not_allowed,high,low,rarely,normal,student,before_midnight,1,3070503
R00260,shared_room,HM,female,not_allowed,small_pets_only,medium,medium,rarely,late,student,before_midnight,4,892317
R00261,shared_room,HBT,female,not_allowed,not_allowed,high,medium,occasionally,late,office_worker,before_midnight,2,2481762
R00262,private_room,Q6,female,not_allowed,not_allowed,high,medium,frequently,late,office_worker,before_midnight,1,4422641
R00263,shared_room,BT,male,not_allowed,allowed,high,low,rarely,early,student,none,2,1448607
R00264,shared_room,NB,male,not_allowed,not_allowed,high,low,rarely,late,student,none,2,984689
R00265,private_room,GV,male,not_allowed,not_allowed,medium,high,occasionally,late,office_worker,none,1,3847981
R00266,shared_room,Q11,male,allowed,not_allowed,high,medium,occasionally,late,student,none,4,957739
R00267,studio,HK,any,allowed,not_allowed,medium,medium,occasionally,early,any,before_midnight,1,12556315
R00268,private_room,Q4,female,allowed,not_allowed,high,medium,rarely,normal,student,none,1,7245499
R00269,studio,CG,any,allowed,cats_only,medium,low,occasionally,late,any,before_midnight,1,4503603
R00270,shared_room,Q8,any,outside_only,small_pets_only,high,low,rarely,early,student,before_midnight,4,1255690
R00271,private_room,HBT,male,not_allowed,small_pets_only,medium,low,occasionally,normal,student,before_midnight,1,5441701
R00272,private_room,Q4,female,not_allowed,allowed,medium,medium,rarely,normal,office_worker,before_midnight,1,7652536
R00273,private_room,Q4,male,allowed,not_allowed,medium,medium,occasionally,normal,student,none,1,7430132
R00274,shared_room,Q5,male,allowed,not_allowed,high,low,occasionally,early,student,none,4,1674461
R00275,private_room,DD,female,not_allowed,not_allowed,high,medium,rarely,normal,office_worker,before_11pm,1,3682020
R00276,private_room,Q5,male,not_allowed,small_pets_only,medium,low,rarely,normal,student,none,1,4033448
R00277,private_room,BD,female,not_allowed,allowed,medium,medium,occasionally,normal,office_worker,none,1,7049986
R00278,shared_room,NTL,female,not_allowed,not_allowed,medium,high,occasionally,normal,student,before_midnight,4,1564830
R00279,shared_room,Q6,male,outside_only,not_allowed,high,medium,rarely,normal,student,none,2,1683197
R00280,shared_room,Q10,male,outside_only,cats_only,high,low,occasionally,late,student,none,4,1232302
R00281,studio,Q4,any,allowed,not_allowed,high,low,occasionally,normal,student,before_midnight,2,6667267
